class,threshold,recall,precision
malignant,0.1102173850,0.9687500000,0.4366197183
malignant,0.1113988385,0.9687500000,0.4428571429
malignant,0.1130228266,0.9687500000,0.4492753623
malignant,0.1141030639,0.9687500000,0.4558823529
malignant,0.1255692244,0.9687500000,0.4626865672
malignant,0.1257316172,0.9687500000,0.4696969697
malignant,0.1263373941,0.9687500000,0.4769230769
malignant,0.1283063591,0.9687500000,0.4843750000
malignant,0.1317683309,0.9687500000,0.4920634921
malignant,0.1334683895,0.9687500000,0.5000000000
malignant,0.1397891939,0.9687500000,0.5081967213
malignant,0.1401523799,0.9375000000,0.5000000000
malignant,0.1496786177,0.9375000000,0.5084745763
malignant,0.1529579163,0.9375000000,0.5172413793
malignant,0.1539999694,0.9375000000,0.5263157895
malignant,0.1552824676,0.9375000000,0.5357142857
malignant,0.1655881405,0.9375000000,0.5454545455
malignant,0.1674177349,0.9375000000,0.5555555556
malignant,0.1700617969,0.9375000000,0.5660377358
malignant,0.1719847322,0.9375000000,0.5769230769
malignant,0.1869589388,0.9375000000,0.5882352941
malignant,0.1972616613,0.9375000000,0.6000000000
malignant,0.1981264204,0.9375000000,0.6122448980
malignant,0.2012041360,0.9375000000,0.6250000000
malignant,0.2072713673,0.9375000000,0.6382978723
malignant,0.2082187086,0.9375000000,0.6521739130
malignant,0.2118022293,0.9375000000,0.6666666667
malignant,0.2172284126,0.9375000000,0.6818181818
malignant,0.2218239456,0.9062500000,0.6744186047
malignant,0.2271196395,0.9062500000,0.6904761905
malignant,0.2302730381,0.9062500000,0.7073170732
malignant,0.2541853189,0.9062500000,0.7250000000
malignant,0.2567289174,0.9062500000,0.7435897436
malignant,0.2611029744,0.9062500000,0.7631578947
malignant,0.2648597360,0.9062500000,0.7837837838
malignant,0.2822936177,0.9062500000,0.8055555556
malignant,0.3457388282,0.8750000000,0.8000000000
malignant,0.3604679108,0.8750000000,0.8235294118
malignant,0.3612231612,0.8750000000,0.8484848485
malignant,0.3958818614,0.8750000000,0.8750000000
malignant,0.4486079514,0.8750000000,0.9032258065
malignant,0.5188548565,0.8437500000,0.9000000000
malignant,0.5810226798,0.8437500000,0.9310344828
malignant,0.6311385036,0.8125000000,0.9285714286
malignant,0.6752511859,0.8125000000,0.9629629630
malignant,0.6862295270,0.7812500000,0.9615384615
malignant,0.6946647167,0.7500000000,0.9600000000
malignant,0.7984157801,0.7187500000,0.9583333333
malignant,0.8117496371,0.6875000000,0.9565217391
malignant,0.8537740707,0.6562500000,0.9545454545
malignant,0.9068171382,0.6562500000,1.0000000000
malignant,0.9092448950,0.6250000000,1.0000000000
malignant,0.9385255575,0.5937500000,1.0000000000
malignant,0.9475942850,0.5625000000,1.0000000000
malignant,0.9545532465,0.5312500000,1.0000000000
malignant,0.9696124792,0.5000000000,1.0000000000
malignant,0.9741218090,0.4687500000,1.0000000000
malignant,0.9824087024,0.4375000000,1.0000000000
malignant,0.9829332829,0.4062500000,1.0000000000
malignant,0.9851781726,0.3750000000,1.0000000000
malignant,0.9909075499,0.3437500000,1.0000000000
malignant,0.9924984574,0.3125000000,1.0000000000
malignant,0.9949566722,0.2812500000,1.0000000000
malignant,0.9950687885,0.2500000000,1.0000000000
malignant,0.9954159260,0.2187500000,1.0000000000
malignant,0.9963032007,0.1875000000,1.0000000000
malignant,0.9983261228,0.1562500000,1.0000000000
malignant,0.9989113808,0.1250000000,1.0000000000
malignant,0.9990481734,0.0937500000,1.0000000000
malignant,0.9991840720,0.0625000000,1.0000000000
malignant,0.9995635152,0.0312500000,1.0000000000
malignant,,0.0000000000,1.0000000000
normal,0.0000361562,1.0000000000,0.1694915254
normal,0.0000411654,1.0000000000,0.1709401709
normal,0.0000640262,1.0000000000,0.1724137931
normal,0.0000945805,1.0000000000,0.1739130435
normal,0.0001116506,1.0000000000,0.1754385965
normal,0.0001126546,1.0000000000,0.1769911504
normal,0.0001230106,1.0000000000,0.1785714286
normal,0.0001348821,1.0000000000,0.1801801802
normal,0.0001363599,1.0000000000,0.1818181818
normal,0.0001476725,1.0000000000,0.1834862385
normal,0.0001527570,1.0000000000,0.1851851852
normal,0.0001598517,1.0000000000,0.1869158879
normal,0.0001888891,1.0000000000,0.1886792453
normal,0.0001891224,1.0000000000,0.1904761905
normal,0.0001893364,1.0000000000,0.1923076923
normal,0.0001897043,1.0000000000,0.1941747573
normal,0.0001927509,1.0000000000,0.1960784314
normal,0.0002208654,1.0000000000,0.1980198020
normal,0.0002293974,1.0000000000,0.2000000000
normal,0.0002299980,1.0000000000,0.2020202020
normal,0.0002355440,1.0000000000,0.2040816327
normal,0.0002547488,1.0000000000,0.2061855670
normal,0.0002689084,1.0000000000,0.2083333333
normal,0.0002703673,1.0000000000,0.2105263158
normal,0.0002717035,1.0000000000,0.2127659574
normal,0.0002747733,1.0000000000,0.2150537634
normal,0.0002891881,1.0000000000,0.2173913043
normal,0.0002952974,1.0000000000,0.2197802198
normal,0.0002958420,1.0000000000,0.2222222222
normal,0.0002983680,1.0000000000,0.2247191011
normal,0.0003494281,1.0000000000,0.2272727273
